Region,LAWA Site ID,Site name,Estuary name,Date sampled ,Indicator,Units,Indicator value,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2019/01/01,Macrofauna,N/A,4.07,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2018/01/01,Mud_content,%,9.3,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2018/01/01,Macrofauna,N/A,3.82,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2017/01/01,Mud_content,%,12.1,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2017/01/01,Macrofauna,N/A,3.91,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2016/01/01,Arsenic,mg/kg,4.6,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2016/01/01,Copper,mg/kg,2.7,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2016/01/01,Lead,mg/kg,2.1,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2016/01/01,Mercury,mg/kg,<ALD,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2016/01/01,Zinc,mg/kg,18,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2016/01/01,Mud_content,%,9.9,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2016/01/01,Macrofauna,N/A,4.01,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2015/01/01,Mud_content,%,12.6,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2015/01/01,Macrofauna,N/A,4.02,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2014/01/01,Mud_content,%,11.6,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2014/01/01,Macrofauna,N/A,4.05,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2013/01/01,Mud_content,%,12.0,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2013/01/01,Macrofauna,N/A,3.81,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2012/01/01,Mud_content,%,10.4,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2012/01/01,Macrofauna,N/A,3.75,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2011/01/01,Mud_content,%,11.2,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2011/01/01,Macrofauna,N/A,3.99,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2010/01/01,Mud_content,%,10.9,,,,,,,,
Auckland,LAWA-103137,Dyers Creek,Mahurangi Harbour,2010/01/01,Macrofauna,N/A,3.76,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2022/01/01,Arsenic,mg/kg,11.1,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2022/01/01,Cadmium,mg/kg,0.02,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2022/01/01,Copper,mg/kg,6.3,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2022/01/01,Lead,mg/kg,5.1,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2022/01/01,Mercury,mg/kg,0.03,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2022/01/01,Zinc,mg/kg,34,,,,,,,,
Auckland,LAWA-103138,Hamilton Landing,Mahurangi Harbour,2021/01/01,Mud_content,%,40.4,,,,,,,,
