term,estimate,std.error,statistic,p.value,model,effect
(Intercept),20618.28845,8199.648282,2.514533275,0.011979683,lm_biotot,NA
year,-10.11560796,4.082138377,-2.478016918,0.013275355,lm_biotot,NA
inside_mpaOutside MPA,3960.339091,13050.13013,0.303471234,0.76155536,lm_biotot,NA
bioregionTemperate North Atlantic,-8750.205162,12344.49284,-0.708834723,0.478491414,lm_biotot,NA
bioregionTemperate North Pacific,-7421.615801,11883.79322,-0.62451573,0.532344444,lm_biotot,NA
bioregionTemperate Southern,-201255.3665,17708.38117,-11.36497823,3.08E-29,lm_biotot,NA
bioregionTropical Atlantic,65379.40968,23215.82168,2.816157472,0.004897308,lm_biotot,NA
bioregionTropical Indo Pacific,4433.963341,10551.53449,0.420219765,0.674360088,lm_biotot,NA
GenusEnhalus,890.5796214,42.70515977,20.85414564,2.38E-89,lm_biotot,NA
GenusHalodule,-211.3792505,30.41742971,-6.949280478,4.64E-12,lm_biotot,NA
GenusHalophila,-190.1984288,29.8991523,-6.361331818,2.36E-10,lm_biotot,NA
GenusPhyllospadix,682.9397245,106.6000014,6.406563934,1.76E-10,lm_biotot,NA
GenusPosidonia,841.5772087,96.60256313,8.711748234,5.26E-18,lm_biotot,NA
GenusRuppia,-424.3828538,46.96571761,-9.036013402,3.12E-19,lm_biotot,NA
GenusSyringodium,-6.074480978,39.16826715,-0.155086794,0.876765086,lm_biotot,NA
GenusThalassia,369.6766217,28.86455731,12.80728534,1.90E-36,lm_biotot,NA
GenusThalassodendron,533.7426896,82.27303051,6.487456294,1.04E-10,lm_biotot,NA
GenusZostera,-160.6579133,32.60141084,-4.92794358,8.84E-07,lm_biotot,NA
year:inside_mpaOutside MPA,-1.905334324,6.504546864,-0.292923452,0.769604338,lm_biotot,NA
year:bioregionTemperate North Atlantic,4.361695776,6.133442385,0.711133406,0.477066181,lm_biotot,NA
year:bioregionTemperate North Pacific,3.689175667,5.915753624,0.623618883,0.532933314,lm_biotot,NA
year:bioregionTemperate Southern,100.6957585,8.825260155,11.40994789,1.89E-29,lm_biotot,NA
year:bioregionTropical Atlantic,-32.41464184,11.52926733,-2.811509257,0.004968408,lm_biotot,NA
year:bioregionTropical Indo Pacific,-2.289210449,5.250677249,-0.435983844,0.662885112,lm_biotot,NA
inside_mpaOutside MPA:bioregionTemperate North Atlantic,2230.365206,21984.92134,0.10144977,0.919201353,lm_biotot,NA
inside_mpaOutside MPA:bioregionTemperate North Pacific,-35845.24478,17482.34045,-2.050368764,0.040429812,lm_biotot,NA
inside_mpaOutside MPA:bioregionTemperate Southern,168116.3794,23322.77479,7.208249489,7.42E-13,lm_biotot,NA
inside_mpaOutside MPA:bioregionTropical Atlantic,-100644.7982,25885.97565,-3.888004822,0.000103634,lm_biotot,NA
inside_mpaOutside MPA:bioregionTropical Indo Pacific,-93900.92497,17769.9948,-5.284240431,1.37E-07,lm_biotot,NA
year:inside_mpaOutside MPA:bioregionTemperate North Atlantic,-1.072024325,10.93907059,-0.09799958,0.921940278,lm_biotot,NA
year:inside_mpaOutside MPA:bioregionTemperate North Pacific,17.82918731,8.709816912,2.047022055,0.040757534,lm_biotot,NA
year:inside_mpaOutside MPA:bioregionTemperate Southern,-84.13357256,11.62614469,-7.236583994,6.05E-13,lm_biotot,NA
year:inside_mpaOutside MPA:bioregionTropical Atlantic,50.00189672,12.86752657,3.885898074,0.000104532,lm_biotot,NA
year:inside_mpaOutside MPA:bioregionTropical Indo Pacific,46.66890981,8.845467607,5.276025179,1.43E-07,lm_biotot,NA
(Intercept),-76433.54655,37286.28688,-2.049910381,0.040460983,lm_stdense,NA
year,38.89325476,18.561597,2.095361447,0.03622352,lm_stdense,NA
inside_mpaOutside MPA,307983.9119,68900.20951,4.469999643,8.12E-06,lm_stdense,NA
bioregionTemperate North Atlantic,-940243.8782,99816.61884,-9.41971276,8.80E-21,lm_stdense,NA
bioregionTemperate North Pacific,-52990.40786,85624.79342,-0.61886757,0.536051163,lm_stdense,NA
bioregionTemperate Southern,-9346.658505,174492.5825,-0.05356479,0.95728552,lm_stdense,NA
bioregionTropical Atlantic,174998.7987,173946.4167,1.006050035,0.314473624,lm_stdense,NA
bioregionTropical Indo Pacific,90192.42389,75191.14529,1.19950858,0.230426127,lm_stdense,NA
GenusCymodocea,-276.9646813,712.2074642,-0.388882025,0.697391353,lm_stdense,NA
GenusEnhalus,-183.5133053,815.3306767,-0.225078377,0.821933818,lm_stdense,NA
GenusHalodule,2941.211834,753.1448692,3.905240485,9.62E-05,lm_stdense,NA
